Date,Open,High,Low,Close,Adj Close,Volume
22.12.2015,73287.3,73380.14,72220.54,73102.1,73102.1,772508500
23.12.2015,73531.61,74498.61,73531.18,74044.89,74044.89,666210600
24.12.2015,74246.76,74393.68,73864.96,74050.35,74050.35,423300800
25.12.2015,74150.66,74227.85,73994.66,74189.53,74189.53,217980800
28.12.2015,74436.85,74953.61,74193.26,74243.17,74243.17,557032600
29.12.2015,74430,74527.68,73692.94,73912.61,73912.61,546957800
30.12.2015,73939.63,74004.94,73064.64,73200.69,73200.69,420055600
31.12.2015,73305.02,73372.07,71433.59,71726.99,71726.99,441321100
04.01.2016,70677.98,70816.41,69880.43,70518.35,70518.35,487217100
05.01.2016,71055.53,71253.47,69395.82,70688.1,70688.1,678649500
06.01.2016,70379.59,71267.13,69713.49,71197.94,71197.94,796178500
07.01.2016,70600.1,71640.24,69687.85,71495.93,71495.93,891366900
08.01.2016,71868.2,72131.92,70407.76,70613.2,70613.2,728235900
11.01.2016,70397.28,71621.86,70111.51,71048.98,71048.98,683807600
12.01.2016,71033.3,72100.1,70516.46,71740.41,71740.41,863732500
13.01.2016,72106.05,73010.85,72030.21,72508.72,72508.72,797325100
14.01.2016,72206.4,72651.44,71308.91,71940.56,71940.56,808607200
15.01.2016,71984.02,72274.51,70628.02,71062,71062,736982500
18.01.2016,71463.6,71521.46,70845.24,71039.68,71039.68,612508500
19.01.2016,71666.37,71827.39,70786.19,71073.16,71073.16,682048600
20.01.2016,70604.62,70785.6,69595.27,69603.95,69603.95,714275300
21.01.2016,69657.63,69777.08,68230.47,68567.89,68567.89,801552000
22.01.2016,69487.09,70392.47,69255.28,70243.91,70243.91,753734500
25.01.2016,70761.85,71087.97,70123.01,70539.01,70539.01,538634800
26.01.2016,70144.5,71838.7,69925.09,71808.91,71808.91,705556400
27.01.2016,71819.83,72683.67,71775.15,72052.86,72052.86,791897700
28.01.2016,72431.77,72960.91,72320.67,72427.41,72427.41,783777600
29.01.2016,73122.72,73506.6,73080.24,73481.09,73481.09,706538300
01.02.2016,73496.15,73514.82,72793.71,73447.67,73447.67,674550700
02.02.2016,73651.59,73911.49,72506.16,72506.16,72506.16,715945900
03.02.2016,72174.76,73629.82,72015.18,73267.44,73267.44,780711400
04.02.2016,74150.41,74740.4,73962.86,74505.36,74505.36,812587400
05.02.2016,74485.66,74767.42,74033.33,74203.54,74203.54,657133800
08.02.2016,74457.35,74656.23,72005.24,72005.24,72005.24,900825200
09.02.2016,71520.33,71798.27,70373.47,71415.16,71415.16,891221900
10.02.2016,71672.1,72249.88,70856.37,71614.22,71614.22,702998300
11.02.2016,71116.39,71281.57,69889.81,70941.65,70941.65,829495600
12.02.2016,71331.83,71541.79,70895.67,70937.4,70937.4,642829100
15.02.2016,71275.31,71566.39,69436.07,71008.09,71008.09,781333100
16.02.2016,71586.49,71815.85,70807.45,70949.22,70949.22,621106600
17.02.2016,70922.65,72855.79,70653.59,72805.12,72805.12,792817000
18.02.2016,72709.21,73446.47,72322.33,73446.47,73446.47,730059500
19.02.2016,73400.95,73455.61,72671.16,73015.42,73015.42,613302100
22.02.2016,73656.62,74893.9,73566.4,74893.9,74893.9,751608900
23.02.2016,74854.64,75923.81,74674.31,75499.76,75499.76,912705400
24.02.2016,75638.72,75705.44,73916.02,74067.21,74067.21,805785700
25.02.2016,74551.7,75504.17,74351.13,75201.89,75201.89,731506400
26.02.2016,75570.61,76017.39,74835.6,74929.02,74929.02,707773100
29.02.2016,74709.59,75954.83,74423.81,75814.41,75814.41,695369300
01.03.2016,75949.08,76184.62,75642.13,75955.43,75955.43,634696300
02.03.2016,76635.66,77096.52,76415.08,76787.95,76787.95,723462100
03.03.2016,77062.56,77527.33,76466.08,76828.32,76828.32,747234100
04.03.2016,76943.53,77191.14,76163.94,77191.14,77191.14,747725800
07.03.2016,77349.55,77989.76,77150.42,77483.85,77483.85,745611300
08.03.2016,77284.19,78143.92,77157.99,77682.88,77682.88,840034600
09.03.2016,77628.86,78738.19,77398.35,78738.19,78738.19,757309600
10.03.2016,78856.1,79674.05,78505.03,79024.69,79024.69,948047000
11.03.2016,79565.89,79613.12,78743.46,79380.18,79380.18,710093400
14.03.2016,79203.09,80114.6,79179.92,80110.88,80110.88,716493500
15.03.2016,80087.19,80091.21,78774.6,79031.07,79031.07,810238300
16.03.2016,79168.74,79574.05,78419.53,79369.24,79369.24,689647700
17.03.2016,80477.35,81389.27,80396.17,81377.13,81377.13,885839000
18.03.2016,81482.74,82943.44,81221.19,82943.44,82943.44,810052500
21.03.2016,82775.57,83523.69,82436.63,83402.73,83402.73,839800300
22.03.2016,82853.03,82853.03,80983,81766.14,81766.14,1091209000
23.03.2016,81549.27,81735.04,80171.7,80383.69,80383.69,884958000
24.03.2016,80297.44,81389.59,80121.03,81358.38,81358.38,771850200
25.03.2016,81423.37,81753.38,81289.85,81356.45,81356.45,319062300
28.03.2016,81494.08,81731.07,80873.1,81344.55,81344.55,363061200
29.03.2016,81716.75,82273.33,81522.9,81733.62,81733.62,617198700
30.03.2016,82374.98,83041.35,82299.46,82917.75,82917.75,711134200
31.03.2016,82917.5,83446.84,82486.84,83268.04,83268.04,728041400
01.04.2016,82987.2,83054.63,81931.92,82359.44,82359.44,658899100
04.04.2016,82762.54,83872.91,82599.87,83872.91,83872.91,758556700
05.04.2016,83620.5,83701.04,82465.04,82964.08,82964.08,721195800
06.04.2016,82906.1,83026.05,81511.27,81511.27,81511.27,737277600
07.04.2016,82008.12,82252.59,81080.72,81164.66,81164.66,621518500
08.04.2016,81451.03,82576.11,80884.03,82502.11,82502.11,722848800
11.04.2016,82630.54,84101.43,82301.42,83987.53,83987.53,873481000
12.04.2016,83859.36,84429.97,83263.83,83719.8,83719.8,914010800
13.04.2016,84151.9,85808.84,84009.16,85696.67,85696.67,924081500
14.04.2016,85749.81,86254.5,85340.41,85784.95,85784.95,956173100
15.04.2016,85970.85,86188.01,84807.93,85573.25,85573.25,729986400
18.04.2016,85180.38,86386.7,84997.66,86343.65,86343.65,765878000
19.04.2016,86607.43,86693.5,85806.74,86250.97,86250.97,726862300
20.04.2016,86008.52,86931.34,85271.54,85550.21,85550.21,987959000
21.04.2016,85936.57,86450.04,85117.74,85670.8,85670.8,664810300
22.04.2016,85847.37,85929.31,85150.63,85828.66,85828.66,596431400
25.04.2016,85573.44,85851.23,84984.19,85109.37,85109.37,584485100
26.04.2016,85347.24,85938.32,85042.85,85756.42,85756.42,702274000
27.04.2016,85877.39,86121.04,85291.5,85374.19,85374.19,544838000
28.04.2016,85467.41,85676.38,84763.17,85477.83,85477.83,663260600
29.04.2016,85525.08,85664.35,84837.94,85327.8,85327.8,525506000
02.05.2016,85241.69,85268.59,83811.66,83829.85,83829.85,462871100
